Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A832598;*Naomi;04/16/2021 10:51:00 AM;51St Street And Manor Road in Austin (TX);Stray;Normal;Dog;Intact Female;3 years;Catahoula Mix;Brown Merle/White
A832965;Trunks - Event;04/21/2021 05:01:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;4 months;German Shepherd Mix;Black/Tan
A832899;*Superman - Event;04/21/2021 01:09:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;2 months;Siberian Husky/German Shepherd;Tan/White
A832898;*Rocky Road - Event;04/21/2021 01:09:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;2 months;Anatol Shepherd Mix;Tricolor
A833167;Daddy;04/25/2021 06:06:00 PM;10813 Dimitrios in Austin (TX);Stray;Sick;Dog;Neutered Male;13 years;Bull Terrier;Brown/White
A832442;*Sol;04/13/2021 04:44:00 PM;6111 Blue Stem Trail in Austin (TX);Stray;Normal;Dog;Neutered Male;4 years;Siberian Husky;White/Black
A832229;Lil Milo;04/09/2021 02:03:00 PM;20501 Oak Canyon in Travis (TX);Stray;Normal;Cat;Intact Male;2 years;Domestic Shorthair;Orange Tabby
A833092;;04/23/2021 05:50:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;2 months;Domestic Shorthair;Black/White
A833240;Ash;04/26/2021 03:27:00 PM;1601 East Slaughter Lane in Austin (TX);Stray;Normal;Cat;Neutered Male;5 years;Domestic Shorthair;Gray
A833243;;04/26/2021 04:16:00 PM;2211 Patsy in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Alaskan Husky Mix;Black/White
A833244;;04/26/2021 04:14:00 PM;11908 Anderson Mill Road in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Orange Tabby
A833236;;04/26/2021 02:57:00 PM;127 Bolles in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Black/White
A833242;;04/26/2021 04:16:00 PM;2211 Patsy in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Alaskan Husky Mix;Black/White
A833053;;04/23/2021 03:17:00 PM;3406 Catalina Drive in Austin (TX);Stray;Normal;Dog;Intact Female;3 months;German Shepherd Mix;Sable/Brown
A832973;Prismo;04/21/2021 08:55:00 PM;4600 Rocking Chair Road in Austin (TX);Stray;Normal;Dog;Intact Male;1 month;Labrador Retriever;White
A832756;*Cadence;04/19/2021 11:41:00 AM;1101 Mearns Meadow Boulevard in Austin (TX);Stray;Normal;Dog;Intact Female;3 months;Labrador Retriever Mix;Brown Brindle/White
A832409;Sarro;04/13/2021 08:38:00 AM;4607 Whirlaway Drive in Travis (TX);Public Assist;Normal;Dog;Intact Male;1 year;Black/Tan Hound;Black/Brown
A833238;Cairo - Event;04/26/2021 03:17:00 PM;Pflugerville (TX);Owner Surrender;Normal;Dog;Intact Male;3 months;Great Pyrenees;White
A833246;;04/26/2021 04:14:00 PM;11908 Anderson Mill Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Cream Tabby
A833245;;04/26/2021 04:14:00 PM;11908 Anderson Mill Road in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair;Cream Tabby
A833220;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Orange Tabby
A833227;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Gray Tabby
A833216;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Blue Tabby
A833228;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Gray Tabby
A833219;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Torbie
A833229;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Gray Tabby
A833256;;04/26/2021 07:57:00 PM;1801 South Mopac Expressway in Austin (TX);Wildlife;Normal;Other;Unknown;1 year;Bat;Brown
A833217;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Gray Tabby
A833218;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Gray Tabby
A833211;*Prada;04/26/2021 12:45:00 PM;1054 Springdale in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A833208;*Versace;04/26/2021 12:45:00 PM;1054 Springdale in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A833207;*Armani;04/26/2021 12:45:00 PM;1054 Springdale in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A833210;*Mcqueen;04/26/2021 12:45:00 PM;1054 Springdale in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A831208;;03/24/2021 08:19:00 AM;9905 Plover Dr in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Chihuahua Longhair;Brown/Black
A833212;*Chanel;04/26/2021 12:45:00 PM;1054 Springdale in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair;Brown Tabby
A833209;*Dior;04/26/2021 12:45:00 PM;1054Springdale in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;Brown Tabby
A832650;;04/17/2021 12:47:00 PM;5000 Lark Creek Court in Austin (TX);Stray;Nursing;Dog;Intact Female;1 month;Australian Cattle Dog Mix;White/Blue Tick
A833070;;04/23/2021 03:22:00 PM;3625 Duval Road in Austin (TX);Stray;Normal;Dog;Spayed Female;7 years;Yorkshire Terrier Mix;Brown/Black
A832649;;04/17/2021 12:47:00 PM;5000 Lark Creek Court in Austin (TX);Stray;Nursing;Dog;Intact Female;1 month;Australian Cattle Dog Mix;White/Red Tick
A832698;Rat;04/18/2021 01:11:00 PM;Austin (TX);Public Assist;Normal;Dog;Neutered Male;10 years;Rat Terrier Mix;Tricolor
A833152;Bunny;04/25/2021 11:10:00 AM;11900 Sonoma in Bee Cave (TX);Public Assist;Nursing;Dog;Intact Female;1 weeks;Belgian Malinois/German Shepherd;Brown
A833272;;04/27/2021 11:12:00 AM;5Th Street And Shady Lane in Austin (TX);Stray;Normal;Dog;Neutered Male;1 year;Pit Bull Mix;Tan/White
A833275;Vi;04/27/2021 11:47:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;1 month;Boxer Mix;Red/White
A833215;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Male;2 weeks;Siamese Mix;Lilac Point
A833213;;04/26/2021 12:54:00 PM;124 West Anderson Lane in Austin (TX);Stray;Nursing;Cat;Intact Female;1 year;Siamese Mix;Lilac Point
A833269;*T-Bone;04/27/2021 10:33:00 AM;Austin (TX);Owner Surrender;Injured;Dog;Intact Male;1 month;Pit Bull;Fawn/White
A832574;*Kimchi;04/15/2021 04:48:00 PM;2209 Kinney Road in Austin (TX);Abandoned;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Brown Tabby
A833280;Blue;04/27/2021 12:03:00 PM;7006 Meador in Austin (TX);Stray;Injured;Dog;Neutered Male;1 year;Labrador Retriever;Red
A832865;*Nina;04/20/2021 06:05:00 PM;505 Delmar in Austin (TX);Stray;Injured;Cat;Intact Female;2 years;Domestic Shorthair;Brown Tabby/White
A833077;*Maeve;04/23/2021 04:15:00 PM;Elk Pass Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair;White/Black
A833281;*Poblano;04/27/2021 01:39:00 PM;1205 Harvey Street in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Black/White
A833286;*Piri Piri;04/27/2021 01:39:00 PM;1205 Harvey Street in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby/White
A833284;*Cayenne;04/27/2021 01:39:00 PM;1205 Harvey Street in Austin (TX);Stray;Normal;Cat;Intact Female;4 weeks;Domestic Shorthair;Black
A833287;*Habanero;04/27/2021 01:39:00 PM;1205 Harvey Street in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby/White
A833079;;04/23/2021 04:15:00 PM;Elk Pass Drive in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby/White
A833346;;04/28/2021 04:27:00 PM;7701 Shoal Creek Boulevard in Austin (TX);Stray;Injured;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby
A832877;Nakita;04/21/2021 08:05:00 AM;Austin (TX);Owner Surrender;Injured;Dog;Intact Female;1 month;Siberian Husky;White/Black
A833078;;04/23/2021 04:15:00 PM;Elk Pass Drive in Austin (TX);Stray;Normal;Cat;Intact Female;4 weeks;Domestic Shorthair;Brown Tabby/White
A833080;;04/23/2021 04:15:00 PM;Elk Pass Drive in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Black/White
A833138;*Hank;04/24/2021 02:30:00 PM;20307 Engelmann Lane in Travis (TX);Stray;Injured;Dog;Intact Male;5 years;Labrador Retriever;Yellow
A833335;Oso;04/28/2021 11:24:00 AM;1204 Watermelon Way in Travis (TX);Stray;Normal;Dog;Intact Male;1 year;Kuvasz Mix;White
A833416;;04/29/2021 01:05:00 PM;15000 Maha Road in Austin (TX);Stray;Normal;Cat;Intact Male;2 years;Domestic Shorthair;White/Black
A833385;Zeus;04/29/2021 09:13:00 AM;4618 E 7Th Street in Austin (TX);Stray;Injured;Dog;Neutered Male;6 years;Pit Bull;Gray/White
A833402;*Caspian;04/29/2021 11:43:00 AM;Great Falls Dr in Travis (TX);Stray;Injured;Cat;Neutered Male;2 years;Domestic Shorthair;Gray
A833282;*Serrano;04/27/2021 01:39:00 PM;1205 Harvey Street in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Black/White
A833298;Keke;04/27/2021 03:36:00 PM;Mopac And Brodie in Austin (TX);Stray;Sick;Dog;Intact Female;6 years;Pit Bull;White/Brown
A828399;Rayo;01/16/2021 04:11:00 PM;Colfax Drive And Imperial Drive in Austin (TX);Stray;Normal;Dog;Intact Male;10 months;German Shepherd Mix;Tan/Black
A833300;281 G;04/27/2021 03:58:00 PM;2705 Hoeke Lane in Austin (TX);Stray;Normal;Cat;Intact Female;1 weeks;Domestic Shorthair;Calico
A833301;314 G;04/27/2021 03:58:00 PM;2705 Hoeke Lane in Austin (TX);Stray;Normal;Cat;Intact Male;1 weeks;Domestic Shorthair;White
A833307;Felipe;04/27/2021 04:45:00 PM;Austin (TX);Owner Surrender;Normal;Other;Intact Male;2 years;Guinea Pig;Tricolor
A833306;Pimpon;04/27/2021 04:45:00 PM;Austin (TX);Owner Surrender;Normal;Other;Intact Male;2 years;Guinea Pig;Tricolor
A827990;*Sky;04/27/2021 05:18:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Spayed Female;8 months;German Shorthair Pointer/American Pit Bull Terrier;Liver/Blue
