Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A786884;*Brock;01/03/2019 04:19:00 PM;2501 Magin Meadow Dr in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Beagle Mix;Tricolor
A635072;Beowulf;04/16/2019 09:53:00 AM;415 East Mary Street in Austin (TX);Public Assist;Normal;Dog;Neutered Male;6 years;Great Dane Mix;Black
A818975;;06/18/2020 02:53:00 PM;Braker Lane And Metric in Travis (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Cream Tabby
A790209;Ziggy;03/06/2019 02:31:00 PM;4424 S Mopac Expwy in Austin (TX);Public Assist;Normal;Cat;Intact Female;4 years;Domestic Shorthair Mix;Brown Tabby/White
A754715;Rheia;07/29/2019 05:19:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Labrador Retriever Mix;Black/White
A810994;;12/25/2019 12:05:00 AM;7900 Rm 1826 Rd in Travis (TX);Wildlife;Normal;Other;Unknown;2 years;Bat;Brown
A803723;;09/05/2019 12:00:00 PM;10508 Twilight Vista in Austin (TX);Stray;Normal;Cat;Unknown;6 months;Domestic Shorthair;Black/White
A794334;Pearl;09/02/2019 11:52:00 AM;Outside Jurisdiction;Owner Surrender;Sick;Dog;Spayed Female;3 years;Boxer Mix;White
A789526;Sixlet;02/23/2019 11:22:00 AM;2504 Stratford Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Black
A821389;*Dim Sum;08/10/2020 02:10:00 PM;7800 San Felipe Boulevard in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby
A812244;;01/18/2020 02:14:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Intact Male;1 month;Labrador Retriever;Tan
A772747;Lamar;01/07/2019 01:41:00 PM;Thaxton And Sassman in Austin (TX);Stray;Normal;Dog;Neutered Male;1 year;Pit Bull/Australian Cattle Dog;White
A810820;;12/21/2019 11:09:00 AM;20209 Grover Cleaveland Way in Manor (TX);Stray;Normal;Dog;Spayed Female;7 years;Yorkshire Terrier;Black/Gray
A793043;;04/18/2019 04:06:00 PM;127 West Anderson Lane in Austin (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Brown Tabby
A813757;;02/18/2020 12:26:00 PM;Colonial Park And Weidemar in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;German Shepherd/Australian Cattle Dog;Black/Tricolor
A793707;Severus;04/28/2019 04:54:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;1 year;Domestic Shorthair Mix;White/Black
A760116;Jasmine;01/07/2019 12:07:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;7 years;German Shepherd;Brown/Black
A800456;Samson;07/21/2019 02:19:00 PM;14229 Gilford Drive in Travis (TX);Stray;Normal;Dog;Neutered Male;1 year;Great Dane;Black/Brown Brindle
A803768;Kylo;11/15/2019 06:35:00 PM;Travis (TX);Owner Surrender;Normal;Dog;Neutered Male;1 year;Alaskan Husky;Brown
A791540;*Milkbone;03/27/2019 11:36:00 AM;Martin Luther King Boulevard E And Sendero Hills Parkway in Austin (TX);Stray;Normal;Dog;Spayed Female;1 year;Pit Bull Mix;White/Black
A791850;;04/02/2019 07:16:00 AM;4434 Frontier Trail in Austin (TX);Stray;Injured;Cat;Intact Female;2 years;Domestic Shorthair Mix;Brown Tabby
A804055;;11/03/2019 04:14:00 PM;6400 Huntleigh Way in Austin (TX);Stray;Injured;Cat;Spayed Female;9 months;Domestic Shorthair;Calico
A795850;Kai;05/25/2019 12:14:00 PM;4806 Lyons Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair Mix;Brown Tabby/White
A800717;;07/25/2019 01:49:00 PM;11900 Green Crove in Austin (TX);Stray;Nursing;Cat;Intact Female;1 week;Domestic Shorthair;Blue/White
A789406;Liliana;02/21/2019 02:55:00 PM;Austin (TX);Public Assist;Normal;Cat;Intact Female;3 years;Domestic Shorthair Mix;Brown Tabby
A816185;;04/09/2020 07:49:00 AM;1830 W Rundberg in Austin (TX);Stray;Normal;Cat;Intact Male;1 week;Domestic Shorthair;Gray Tabby
A787448;Watermelon;04/01/2019 11:30:00 AM;12900 Dessau in Travis (TX);Stray;Normal;Dog;Intact Female;3 years;Labrador Retriever Mix;Brown Tiger/White
A793946;;05/02/2019 08:21:00 AM;Astro View / Moonglow in Austin (TX);Stray;Nursing;Cat;Intact Female;2 weeks;Domestic Shorthair Mix;Blue Tabby
A818382;Cookie;06/08/2020 08:35:00 AM;4434 Frontier Trail in Austin (TX);Owner Surrender;Sick;Dog;Intact Male;1 month;Boxer;Brown/Black
A808587;Rocket;03/19/2020 12:24:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;2 years;Staffordshire/English Bulldog;Blue/White
A796145;*Charlie;05/29/2019 03:06:00 PM;Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Black
A812121;;01/16/2020 12:08:00 PM;1712 Morrow Street in Austin (TX);Stray;Normal;Cat;Neutered Male;14 years;Domestic Longhair;Black/White
A812020;Delgado;01/28/2020 12:59:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Neutered Male;2 years;Australian Shepherd/Chow Chow;Brown/Black
A806727;;10/14/2019 06:16:00 PM;183 And Payton Gin in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Chihuahua Longhair Mix;Chocolate/White
A807675;*Fija;10/28/2019 12:11:00 PM;Fort Branch Boulevard in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Black Mouth Cur/Pit Bull;Tan/Black
A799428;;07/08/2019 02:57:00 PM;Austin (TX);Stray;Normal;Dog;Intact Male;2 months;Labrador Retriever Mix;Tan/White
A790617;*Margarita;03/13/2019 12:10:00 PM;1200 East 52Nd Street in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Brown Tabby
A815427;Ash;03/15/2020 03:50:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;2 years;Domestic Shorthair Mix;Tortie
A821941;;08/23/2020 08:51:00 AM;4434 Frontier Trail in Austin (TX);Stray;Nursing;Cat;Intact Male;5 days;Domestic Shorthair;White/Brown Tabby
A801103;Churches;07/31/2019 12:35:00 PM;Austin (TX);Owner Surrender;Sick;Cat;Intact Female;2 months;Domestic Shorthair;Blue
A787054;*Rexx;01/24/2019 03:17:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;4 years;Labrador Retriever Mix;Black/White
A798104;*Lily;06/21/2019 02:45:00 PM;Outside Jurisdiction;Stray;Injured;Dog;Intact Female;6 years;Pointer/Beagle;White/Brown
A810107;Daisy;12/31/2019 11:12:00 AM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Spayed Female;2 months;Collie Smooth Mix;Tricolor
A788104;Beaux;01/26/2019 02:04:00 PM;14200 Ranch Road 620 in Austin (TX);Stray;Normal;Dog;Neutered Male;10 years;Beagle Mix;Tricolor/Brown
A797883;;06/19/2019 07:34:00 AM;Parmer Lane in Austin (TX);Stray;Sick;Dog;Intact Female;9 months;Standard Schnauzer;Gray/White
A802191;*Goji;08/15/2019 10:20:00 AM;412 East William Cannon Drive in Austin (TX);Stray;Normal;Cat;Intact Female;4 weeks;Russian Blue;Blue
A793336;;04/23/2019 04:31:00 PM;5007 Delores Ave in Austin (TX);Stray;Injured;Bird;Unknown;1 year;Waxwing Mix;Gray/Yellow
A799639;Fantasia;08/04/2019 11:17:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;4 years;Domestic Medium Hair;Blue/White
A779715;Shorty;03/07/2019 03:52:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;Staffordshire;Fawn/White
A816347;*Beau;04/15/2020 09:13:00 AM;2250 Ridgemont Drive in Austin (TX);Public Assist;Normal;Dog;Intact Male;2 months;Bloodhound;Brown/White
A799444;;07/08/2019 05:03:00 PM;5202 Nuckols Crossing Road in Austin (TX);Stray;Nursing;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby
A794013;*Itsy;05/02/2019 05:36:00 PM;183 And Springdale in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair Mix;Blue Tabby
A824733;;10/19/2020 06:43:00 PM;6008 Merriwood Drive in Austin (TX);Stray;Normal;Cat;Intact Male;3 months;Domestic Shorthair;Brown Tabby/White
A812834;Echo;01/29/2020 02:47:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;7 years;Siberian Husky;Black/White
A804591;;09/16/2019 11:40:00 AM;8102 Linden Road in Travis (TX);Stray;Normal;Cat;Intact Female;3 months;Domestic Shorthair;Blue Tabby/White
A816806;;04/28/2020 01:24:00 PM;9604 Bock Road in Mustang Ridge (TX);Stray;Normal;Dog;Intact Female;1 month;Labrador Retriever Mix;Brown/White
A802705;*Jon;08/21/2019 03:41:00 PM;5006 Table Top in Austin (TX);Stray;Normal;Cat;Intact Male;3 weeks;Domestic Shorthair;White/Brown Tabby
A786674;Max;02/05/2019 03:45:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Neutered Male;2 years;Australian Shepherd Mix;Red/White
A726708;Peluche;09/08/2019 11:54:00 AM;Hammermill Run in Austin (TX);Stray;Normal;Dog;Neutered Male;11 years;Lhasa Apso Mix;Black/White
A789316;Honey;02/19/2019 12:04:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;9 years;Pomeranian;Red
A807130;*Princess Peach;12/02/2019 05:19:00 PM;Travis (TX);Owner Surrender;Normal;Cat;Spayed Female;2 months;Domestic Medium Hair;Calico
A788881;Friend;02/10/2019 04:32:00 PM;Mckenzie Road And Fm 973 in Austin (TX);Stray;Normal;Dog;Neutered Male;3 years;American Pit Bull Terrier Mix;Blue Tiger/White
A796595;;06/03/2019 12:43:00 PM;8700 Lucinda in Travis (TX);Stray;Normal;Dog;Intact Female;3 months;Labrador Retriever/Great Pyrenees;White/Black
A823878;*Solange;10/01/2020 01:26:00 PM;1126 Emmitt Run in Austin (TX);Stray;Nursing;Cat;Intact Female;4 weeks;Domestic Shorthair;Black/White
A653297;Flor;12/31/2019 11:10:00 AM;East Riverside Drive And Wickersham in Austin (TX);Stray;Normal;Dog;Spayed Female;10 years;Rat Terrier;Tricolor
A794878;;05/13/2019 01:38:00 PM;11003 Harris Branch Parkway in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Blue
A816311;;04/13/2020 08:28:00 PM;6503 Bridgewater Cv in Austin (TX);Wildlife;Injured;Other;Unknown;1 year;Bat;Brown
A802486;;08/18/2019 04:58:00 PM;1800 East Stassney Lane in Austin (TX);Stray;Normal;Cat;Intact Male;1 year;Domestic Shorthair;Brown Tabby/White
A824113;*Artemis;10/06/2020 05:53:00 PM;Travis (TX);Owner Surrender;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Calico/White
A819446;*Charlie;06/29/2020 11:36:00 AM;2300 Doris Drive in Austin (TX);Stray;Normal;Cat;Neutered Male;3 months;Domestic Shorthair;Black
A804245;;09/12/2019 11:38:00 AM;1807 West Slaughter Lane in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Smooth Fox Terrier;Black Brindle/White
A813331;Ki;02/08/2020 11:37:00 AM;6802 Spruce Gum Lane in Austin (TX);Stray;Normal;Cat;Intact Female;6 months;Domestic Shorthair Mix;Blue/White
A799024;Coco;07/03/2019 12:40:00 PM;4508 Norwood Ln in Austin (TX);Stray;Normal;Dog;Intact Female;5 months;German Shepherd;Black/Brown
A799287;*Lady;07/06/2019 05:09:00 PM;Travis (TX);Owner Surrender;Nursing;Dog;Intact Female;3 weeks;Labrador Retriever Mix;Brown/White
A785591;Luke;03/15/2019 12:56:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;1 year;Labrador Retriever Mix;Brown/White
A799645;Hank;07/13/2019 04:43:00 PM;Austin (TX);Public Assist;Normal;Cat;Neutered Male;3 years;Domestic Shorthair;Black/White
A823833;*Carter;10/01/2020 11:02:00 AM;2614 Reeves Circle in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Blue Tabby
A792072;Langdon;04/05/2019 12:57:00 PM;Riverside And Highway 71 in Austin (TX);Stray;Normal;Dog;Neutered Male;7 months;Jack Russell Terrier Mix;Brown
A806417;;10/10/2019 02:43:00 PM;10908 Jones Road in Manor (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Torbie
A813744;*Lulu;02/17/2020 11:42:00 PM;9500 Dessau in Austin (TX);Stray;Normal;Dog;Spayed Female;3 years;German Shepherd/Cardigan Welsh Corgi;Tan/Black
A817672;Makita;05/22/2020 04:27:00 PM;5909 Wagon Bend in Austin (TX);Stray;Sick;Cat;Intact Female;17 years;Domestic Shorthair;Brown Tabby
A803009;Kayla;09/29/2019 04:59:00 PM;Outside Jurisdiction;Owner Surrender;Normal;Dog;Spayed Female;10 months;Labrador Retriever/Beagle;Tan/White
A805846;Gordon;10/02/2019 04:21:00 PM;900 Rocking Spur Cove in Travis (TX);Stray;Normal;Dog;Neutered Male;10 years;Bruss Griffon Mix;Tan
A792612;;04/12/2019 04:08:00 PM;5315 Westminster Drive in Austin (TX);Stray;Normal;Cat;Unknown;2 years;Domestic Shorthair Mix;Black/White
A817702;*Mewtwo;05/23/2020 02:31:00 PM;1702 Belford Drive in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair Mix;Black Tabby
A822052;;08/25/2020 03:34:00 PM;1003 Wagon Trail in Austin (TX);Stray;Normal;Cat;Intact Male;4 days;Domestic Shorthair;Brown Tabby
A802616;*Georgina;08/20/2019 03:07:00 PM;1827 Bitter Creek Dr in Austin (TX);Stray;Normal;Cat;Intact Female;3 weeks;Domestic Shorthair;White/Black
A824364;;10/13/2020 10:37:00 AM;14301 Deaf Smith in Austin (TX);Stray;Normal;Cat;Unknown;2 weeks;Domestic Shorthair;Brown Tabby
A813456;Brigitta;02/10/2020 05:12:00 PM;Coyote Trail And Crossbow Trail in Travis (TX);Stray;Normal;Other;Intact Female;2 years;Rabbit Sh;White/Black
A821271;*Cj;08/07/2020 11:47:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;1 month;Domestic Shorthair Mix;Tortie
A802144;Ralph;08/14/2019 11:26:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Unknown;4 years;Domestic Shorthair;Brown Tabby
A789472;Lucy;02/22/2019 11:08:00 AM;Parmer Lane in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Chihuahua Shorthair/Dachshund;Black/Brown
A568668;Rosie;12/14/2019 04:21:00 PM;Stuart Circle And Jain Lane in Austin (TX);Stray;Aged;Dog;Spayed Female;14 years;Chihuahua Shorthair;Brown
A808040;Jax;11/03/2019 01:11:00 PM;Manor (TX);Owner Surrender;Normal;Dog;Intact Male;2 months;Miniature Pinscher Mix;Black/Brown
A795742;;05/24/2019 10:22:00 AM;7404 B Geneva Drive in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Cairn Terrier;Cream/Brown
A635903;Candy;02/08/2020 04:40:00 PM;1009 Coronation Way in Travis (TX);Stray;Normal;Dog;Spayed Female;8 years;Chihuahua Shorthair Mix;Black/White
A798569;Twix;06/27/2019 03:49:00 PM;12034 Research in Austin (TX);Stray;Injured;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby
A787302;*Sam;01/10/2019 06:35:00 PM;7516 Peccary Drive in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;Siberian Husky Mix;Gray/White
A798421;;06/26/2019 11:07:00 AM;10513 Cooper Hill Drive in Austin (TX);Stray;Normal;Dog;Intact Male;3 months;Australian Cattle Dog;Red Tick
A776816;*Blake;07/21/2020 07:34:00 PM;1810 E 3Rd St in Austin (TX);Stray;Injured;Cat;Neutered Male;9 years;Domestic Shorthair Mix;Silver Tabby
A811435;Oribelle;01/03/2020 01:30:00 PM;Highway 71 And Wolf Lane in Austin (TX);Stray;Normal;Dog;Intact Female;2 months;Pit Bull;Brown Brindle
A791024;;03/20/2019 11:09:00 AM;3705 Bluestein Drive in Austin (TX);Stray;Normal;Cat;Intact Male;0 years;Domestic Shorthair Mix;Blue Tabby
A791622;;03/28/2019 02:36:00 PM;1404 O K Corral in Austin (TX);Stray;Normal;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black/White
A813413;;02/09/2020 04:51:00 PM;Quicksilver Blvd And Pleasant Valley Rd in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Chihuahua Shorthair Mix;Brown/White
A811098;;12/27/2019 06:12:00 PM;2400 Dove Drive in Austin (TX);Stray;Normal;Dog;Intact Female;1 month;Labrador Retriever/Anatol Shepherd;Brown
A803867;;09/07/2019 02:32:00 PM;12345 North Lamar in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair Mix;Black
A791198;Daisy Mae;03/22/2019 03:01:00 PM;8100 Bluff Springs Road in Austin (TX);Stray;Normal;Dog;Intact Female;3 years;Australian Cattle Dog Mix;Black/Blue Tick
A824592;;10/18/2020 12:29:00 PM;204 W Powell Ln in Austin (TX);Stray;Injured;Cat;Intact Male;3 months;Domestic Shorthair;Brown Tabby
A814041;*Moonpie;02/23/2020 02:28:00 PM;9212 S Hwy 183 in Austin (TX);Stray;Normal;Dog;Intact Female;3 weeks;Australian Cattle Dog Mix;Black/White
A811757;;01/08/2020 06:38:00 PM;13405 Immanuel Road in Austin (TX);Stray;Normal;Cat;Intact Male;3 years;Domestic Shorthair;Orange Tabby/White
A823204;*Finn;09/18/2020 11:13:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;1 year;Australian Kelpie Mix;Tan
A802383;;08/17/2019 11:06:00 AM;2920 Fm812 in Travis (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair;Blue Tabby
A814825;Danny Girl;03/06/2020 04:57:00 PM;8115 Coulver Road in Travis (TX);Stray;Normal;Dog;Intact Female;2 months;Catahoula Mix;Black/White
A813625;*Angel;02/14/2020 04:00:00 PM;5302 East State Highway 71 in Travis (TX);Stray;Sick;Dog;Intact Female;2 months;Cairn Terrier Mix;Black
A810178;Oreo;12/08/2019 02:40:00 PM;East 51St And Harman Avenue in Austin (TX);Stray;Normal;Dog;Neutered Male;1 year;Pointer Mix;Blue/White
A806197;Ink;10/07/2019 11:20:00 AM;1209 Eleanor St in Austin (TX);Stray;Normal;Dog;Neutered Male;2 years;American Pit Bull Terrier;Brown/White
A818417;Max;06/08/2020 03:08:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;American Pit Bull Terrier Mix;Brown Brindle/White
A789594;Morena;02/24/2019 12:14:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;4 years;Chihuahua Longhair Mix;Brown/Black
A816005;;04/02/2020 03:12:00 PM;Austin (TX);Wildlife;Normal;Other;Unknown;2 years;Bat;Brown
A815365;*Duncan;03/14/2020 02:36:00 PM;1624 Rutland in Austin (TX);Stray;Normal;Cat;Intact Male;4 weeks;Domestic Shorthair;Blue
A821218;Hobbes;08/06/2020 03:15:00 PM;East Ben White in Austin (TX);Stray;Normal;Cat;Intact Male;2 months;Domestic Shorthair Mix;Orange Tabby
A810444;Bobby;12/13/2019 04:32:00 PM;East William Cannon Drive And South Pleasant Valley Road in Austin (TX);Stray;Normal;Dog;Intact Male;3 years;Yorkshire Terrier;Gray/Tan
A796712;;06/04/2019 03:58:00 PM;302 West Grady Drive in Austin (TX);Stray;Normal;Cat;Unknown;4 days;Domestic Shorthair Mix;White/Black
A790671;Felix;03/14/2019 12:08:00 PM;11215 Research in Austin (TX);Stray;Normal;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Orange Tabby
A802150;;08/14/2019 01:07:00 PM;1100 Bee Creek in Travis (TX);Wildlife;Sick;Other;Unknown;1 year;Fox;Brown
A808433;Coal;11/08/2019 04:54:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;9 years;Dachshund;Black/Gray
A801200;Lazarus;08/01/2019 12:13:00 PM;6215 Colton Road in Austin (TX);Stray;Normal;Cat;Intact Male;1 month;Domestic Shorthair;Brown Tabby/White
A790673;Roxy;03/14/2019 11:45:00 AM;2900 Sunridge Drive in Austin (TX);Stray;Normal;Dog;Spayed Female;13 years;Miniature Poodle Mix;White
A805595;*Ice-T;09/29/2019 10:50:00 AM;10020 Shively Lane in Austin (TX);Stray;Normal;Dog;Intact Male;2 years;Rottweiler/Siberian Husky;Black/Tricolor
A798298;Dude;06/24/2019 11:55:00 AM;Austin (TX);Owner Surrender;Normal;Dog;Neutered Male;7 years;Chihuahua Shorthair;Tan
A815716;;03/23/2020 09:35:00 PM;7640 Guadalupe in Austin (TX);Stray;Injured;Cat;Intact Male;3 years;Domestic Longhair;Gray Tabby
A753695;Zeus;09/14/2019 05:45:00 PM;Austin (TX);Public Assist;Normal;Dog;Intact Male;5 years;Pit Bull Mix;Blue
A807411;;10/24/2019 02:19:00 PM;14620 Plover Place in Travis (TX);Stray;Nursing;Dog;Unknown;1 week;Great Pyrenees;Brown
A810471;Sissy;12/14/2019 10:42:00 AM;1601 Faro Drive in Austin (TX);Stray;Normal;Dog;Intact Female;10 years;Yorkshire Terrier;Red/Black
A787971;;01/23/2019 04:45:00 PM;1100 Gunter Street in Austin (TX);Stray;Normal;Cat;Unknown;1 year;Domestic Shorthair Mix;Orange Tabby/White
A805934;*Monica;10/03/2019 06:04:00 PM;Webberville Road in Austin (TX);Stray;Nursing;Dog;Intact Female;3 weeks;Border Collie Mix;White/Black
A825788;Tiny;11/12/2020 03:12:00 PM;Austin (TX);Owner Surrender;Nursing;Dog;Intact Female;2 years;Chihuahua Shorthair;Brown/White
A808167;*Jerry;11/04/2019 06:27:00 PM;1205 Citation in Austin (TX);Owner Surrender;Normal;Cat;Intact Male;1 month;Domestic Shorthair Mix;Brown Tabby/White
A815577;*Rosa;03/19/2020 05:11:00 PM;665 Fm 1626 in Austin (TX);Abandoned;Normal;Cat;Intact Female;3 years;Domestic Shorthair;Brown Tabby
A815281;Princess;03/13/2020 12:37:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Intact Female;3 years;Domestic Shorthair Mix;White/Gray
A822467;;09/03/2020 10:33:00 AM;12717 Doorbell in Manor (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Brown Tabby
A806477;Buddy;10/11/2019 02:36:00 PM;9201 Circuit Of The Americas Boulevard in Austin (TX);Stray;Normal;Dog;Neutered Male;3 years;Beagle Mix;White/Brown
A818681;;06/12/2020 03:36:00 PM;1147 Poquito Street in Austin (TX);Stray;Sick;Cat;Intact Male;4 weeks;Domestic Shorthair;Brown Tabby
A810071;*Jovi;12/06/2019 04:14:00 PM;501 South Highway 183 in Austin (TX);Stray;Normal;Dog;Intact Female;1 year;Pit Bull;Fawn/White
A789913;;03/01/2019 06:52:00 PM;6802 Terra Oak Cir in Austin (TX);Wildlife;Injured;Other;Unknown;1 year;Skunk;Black/White
A797875;Roxy;07/03/2019 05:20:00 PM;Hunters Bend Road And Dunlap Road in Austin (TX);Stray;Normal;Dog;Intact Female;2 years;Harrier Mix;White/Tricolor
A817062;Gigi;05/07/2020 08:37:00 AM;129 Andesite Trail in Travis (TX);Owner Surrender;Sick;Dog;Intact Female;1 month;Shih Tzu;White/Brown
A818692;*Dooley;06/12/2020 04:26:00 PM;2101 Burton Drive in Austin (TX);Owner Surrender;Normal;Cat;Intact Male;1 year;Domestic Shorthair;Orange Tabby
A818383;*Forest;06/08/2020 08:45:00 AM;4434 Frontier Trail in Austin (TX);Stray;Sick;Dog;Intact Male;3 years;Pit Bull;White/Brown
A791318;;03/24/2019 01:26:00 PM;73213 Fm 969 in Austin (TX);Owner Surrender;Normal;Dog;Intact Female;5 weeks;Rat Terrier Mix;Tan/Black
A802856;Rico;08/23/2019 07:12:00 PM;403 West Crestland Drive in Austin (TX);Stray;Normal;Dog;Intact Male;1 year;Chihuahua Shorthair Mix;Brown Brindle/White
A805658;Smokey;09/30/2019 11:44:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Intact Male;3 months;Domestic Shorthair;Blue
A801560;;08/05/2019 06:31:00 PM;3400 Catalina Drive in Austin (TX);Stray;Normal;Cat;Intact Male;3 months;Domestic Shorthair;Black/White
A800185;Celest;07/17/2019 01:36:00 PM;14312 Hunters Bend in Austin (TX);Stray;Normal;Dog;Intact Female;5 months;Labrador Retriever;White
A799739;*234 Grams;07/11/2019 01:04:00 PM;14906 Zurick Drive in Travis (TX);Stray;Normal;Cat;Unknown;3 weeks;Domestic Shorthair;Black/White
A786768;Max;01/01/2019 11:32:00 AM;Austin (TX);Owner Surrender;Normal;Cat;Neutered Male;2 years;Siamese;Lynx Point/Gray
A804556;Max;09/16/2019 12:01:00 PM;24508 Fawn Drive in Travis (TX);Public Assist;Normal;Dog;Intact Male;4 years;Carolina Dog;Brown
A759543;Jinxy;01/26/2020 12:15:00 PM;Austin (TX);Owner Surrender;Normal;Cat;Spayed Female;2 years;Domestic Shorthair Mix;Torbie
A788080;*Pepe;01/25/2019 07:38:00 PM;10609 Mcmillian Dr in Austin (TX);Stray;Normal;Dog;Neutered Male;4 years;Bullmastiff Mix;Tan/White
A825547;;11/05/2020 09:50:00 PM;4800 Hale in Austin (TX);Public Assist;Normal;Bird;Unknown;1 year;Cockatiel;White/Yellow
A804349;;09/13/2019 02:37:00 PM;9442 Capital Of Texas Highway in Austin (TX);Stray;Normal;Dog;Intact Female;2 months;Australian Kelpie Mix;Brown/Black
A795859;;05/25/2019 01:43:00 PM;202 North Lake Hills Drive in Austin (TX);Stray;Normal;Cat;Intact Female;1 month;Abyssinian;Torbie
A809171;;11/20/2019 11:54:00 AM;Vinca Circle in Austin (TX);Stray;Sick;Dog;Intact Male;3 months;Pug Mix;Black/White
A801436;Boba;09/23/2019 01:20:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Spayed Female;4 months;Labrador Retriever;Tan
A819511;;06/30/2020 10:52:00 AM;Aldrich Street in Austin (TX);Stray;Normal;Cat;Intact Male;3 months;Domestic Shorthair;Black
A797801;Alpha;06/17/2019 07:11:00 PM;5901 E Stassney Ln in Austin (TX);Stray;Normal;Dog;Intact Male;7 months;Siberian Husky;Brown/White
A807853;;10/31/2019 11:04:00 AM;6303 Dooley Trail in Austin (TX);Stray;Normal;Cat;Intact Male;3 months;Domestic Shorthair;Brown Tabby
A818805;*Jimbo;06/15/2020 05:15:00 PM;Flournoy Drive And Breezewood Drive in Austin (TX);Stray;Normal;Dog;Neutered Male;6 years;German Shepherd Mix;Brown/Black
A821205;Millie;08/06/2020 11:37:00 AM;Travis (TX);Owner Surrender;Normal;Dog;Spayed Female;8 years;Miniature Poodle/Australian Shepherd;Blue Merle
A799657;334 Grams;07/10/2019 05:33:00 PM;11500 Sunset Drive in Austin (TX);Stray;Nursing;Dog;Intact Male;3 days;Labrador Retriever Mix;Brown
A812334;;01/21/2020 07:27:00 AM;5811 Encinal Cv in Austin (TX);Stray;Injured;Cat;Unknown;2 years;Domestic Shorthair;Brown Tabby
A820543;*Stella;07/22/2020 03:31:00 PM;10201 Ray Avenue in Austin (TX);Stray;Normal;Cat;Intact Female;2 years;Domestic Shorthair;Black/White
A765569;Cornbread;05/15/2019 11:08:00 AM;Airport in Austin (TX);Stray;Normal;Dog;Intact Female;3 years;Blue Lacy;Blue/White
A811229;*Cindy Pawford;12/30/2019 02:40:00 PM;450 East Ben White in Austin (TX);Stray;Normal;Cat;Intact Female;1 year;Domestic Shorthair;Black/White
